contig	start	end	comparison	fraction_GC	SubstitutionsPerSite	type	mu1	mu2	m3
chr5:44812670-52962051	300000	310000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.348	0.0708893747	Macaque_h1	2.79092026377953e-08	4.0183578309226e-08	3.99323021924904e-08
chr5:44812670-52962051	7070000	7080000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.371	0.07518738518	Macaque_h1	2.96013327480315e-08	4.2619901685301e-08	3.95862916544855e-08
chr5:44812670-52962051	6970000	6980000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.458	0.05637719306	Macaque_h1	2.21957452992126e-08	3.19573611950743e-08	2.75729368030977e-08
chr5:44812670-52962051	6640000	6650000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.361	0.05970949335	Macaque_h1	2.35076745472441e-08	3.38462726182564e-08	3.17577834043908e-08
chr5:44812670-52962051	7240000	7250000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.347	0.06966102671	Macaque_h1	2.74256010669291e-08	3.94872903555512e-08	3.88201559108489e-08
chr5:44812670-52962051	7470000	7480000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.34	0.05667595455	Macaque_h1	2.23133679330709e-08	3.21267138770524e-08	2.54124445021589e-08
chr5:44812670-52962051	1150000	1160000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.356	0.06586267741	Macaque_h1	2.59301879566929e-08	3.73341994700938e-08	2.96168552806393e-08
chr5:44812670-52962051	4790000	4800000	ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.408	0.06244344037	Macaque_h1	2.45840316417323e-08	3.53960080283425e-08	3.20371834279549e-08
chr5:44812670-52962051	7440000	7450000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.358	0.05872621092	Macaque_h1	2.3120555480315e-08	3.32888998569195e-08	3.06718761574739e-08
chr5:44812670-52962051	6960000	6970000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.404	0.07211506882	Macaque_h1	2.83917593779528e-08	4.08783619190774e-08	4.1977649678392e-08
chr5:44812670-52962051	4150000	4160000	ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.391	0.08071834831	Macaque_h1	3.17788772874016e-08	4.57551231624316e-08	3.29340704898824e-08
chr5:44812670-52962051	6660000	6670000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.40575	0.1281488405	Macaque_h1	5.04522994094488e-08	7.26410550136826e-08	6.4602415492714e-08
chr5:44812670-52962051	560000	570000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.343	0.06495620584	Macaque_h1	2.55733093858268e-08	3.68203668756841e-08	3.17255094466696e-08
chr5:44812670-52962051	7220000	7230000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.35175	0.06713410797	Macaque_h1	2.64307511692913e-08	3.80549087398358e-08	3.06140253640119e-08
chr5:44812670-52962051	730000	740000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.342	0.07112031193	Macaque_h1	2.80001228070866e-08	4.03144848704066e-08	4.06351857705548e-08
chr5:44812670-52962051	280000	290000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.37	0.07101237731	Macaque_h1	2.79576288622047e-08	4.02533022281079e-08	3.02329712911998e-08
chr5:44812670-52962051	610000	620000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.338	0.06722508996	Macaque_h1	2.64665708503937e-08	3.81064817990618e-08	3.93861374335175e-08
chr5:44812670-52962051	6580000	6590000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.358	0.0624075206	Macaque_h1	2.456989e-08	3.53756469390149e-08	2.49511167321242e-08
chr5:44812670-52962051	3640000	3650000	ag07107_mmu_cen5_h1v1-chm1_cen5v2	0.39	0.00733304879	Macaque_h1	2.88702708267717e-09	4.15673211317436e-09	4.18641695709315e-09
chr5:44812670-52962051	310000	320000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.336	0.07480010576	Macaque_h1	2.94488605354331e-08	4.24003726942924e-08	3.29923792771998e-08
chr5:44812670-52962051	4090000	4100000	ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.392	0.08280607763	Macaque_h1	3.26008179645669e-08	4.69385506503127e-08	4.44954554996527e-08
chr5:44812670-52962051	6760000	6770000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.33175	0.09143052942	Macaque_h1	3.59962714251969e-08	5.18273133928851e-08	3.96992747719712e-08
chr5:44812670-52962051	6730000	6740000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.35	0.05894972607	Macaque_h1	2.32085535708661e-08	3.34155992187256e-08	3.28366278449314e-08
chr5:44812670-52962051	7460000	7470000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.366	0.05932036056	Macaque_h1	2.33544726614173e-08	3.36256930461298e-08	2.52054771812892e-08
chr5:44812670-52962051	1220000	1230000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.362	0.08878122646	Macaque_h1	3.49532387637795e-08	5.03255583921032e-08	5.02141856925511e-08
chr5:44812670-52962051	140000	150000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.338	0.1016673339	Macaque_h1	4.00265094094488e-08	5.76300368080532e-08	5.26138307810504e-08
chr5:44812670-52962051	580000	590000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.356	0.06615990926	Macaque_h1	2.60472083700787e-08	3.75026850770133e-08	3.07697173007316e-08
chr5:44812670-52962051	4280000	4290000	ag07107_mmu_cen5_h1v1-chm1_cen5v2	0.392	0.07429878325	Macaque_h1	2.92514894685039e-08	4.2116198480258e-08	3.31320769125258e-08
chr5:44812670-52962051	6770000	6780000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.36925	0.06955643282	Macaque_h1	2.73844223700787e-08	3.94280014030493e-08	3.54501053655924e-08
chr5:44812670-52962051	150000	160000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.366	0.07563932408	Macaque_h1	2.97792614488189e-08	4.28760828444097e-08	4.2221854587815e-08
chr5:44812670-52962051	950000	960000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.337	0.06457161024	Macaque_h1	2.54218937952756e-08	3.66023592056294e-08	3.58912328144564e-08
chr5:44812670-52962051	990000	1000000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.35175	0.07234648251	Macaque_h1	2.84828671299213e-08	4.10095385611806e-08	3.815447748067e-08
chr5:44812670-52962051	6850000	6860000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.35125	0.0560253719	Macaque_h1	2.20572330314961e-08	3.17579316868647e-08	3.12072623924806e-08
chr5:44812670-52962051	3300000	3310000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.3925	0.03020198224	Macaque_h1	1.18905441889764e-08	1.71199664769351e-08	1.71633544719802e-08
chr5:44812670-52962051	7000000	7010000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.368	0.06033533207	Macaque_h1	2.37540677440945e-08	3.42010287339718e-08	2.9996825075162e-08
chr5:44812670-52962051	6940000	6950000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.40975	0.0662502618	Macaque_h1	2.60827802362205e-08	3.75539013330727e-08	3.46578364469299e-08
chr5:44812670-52962051	1190000	1200000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.383	0.08123100318	Macaque_h1	3.19807099133858e-08	4.60457211145426e-08	3.58861589287775e-08
chr5:44812670-52962051	6420000	6430000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.367	0.06540298481	Macaque_h1	2.57492066181102e-08	3.70736231331118e-08	3.31512359593841e-08
chr5:44812670-52962051	7500000	7510000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.34475	0.0730268353	Macaque_h1	2.87507225590551e-08	4.13951959284597e-08	3.50638406587972e-08
chr5:44812670-52962051	7370000	7380000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.37	0.06510258	Macaque_h1	2.5630937007874e-08	3.69033389366693e-08	3.04487588777255e-08
chr5:44812670-52962051	6950000	6960000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.38425	0.06458199764	Macaque_h1	2.54259833228346e-08	3.66082472939797e-08	3.4924565740312e-08
chr5:44812670-52962051	6900000	6910000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.3655	0.06106124222	Macaque_h1	2.40398591417323e-08	3.46125102498045e-08	2.76425485962437e-08
chr5:44812670-52962051	430000	440000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.359	0.07929200497	Macaque_h1	3.12173247913386e-08	4.49466017226349e-08	3.32561032390749e-08
chr5:44812670-52962051	500000	510000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.333	0.06376410655	Macaque_h1	2.51039789566929e-08	3.61446264650117e-08	3.31615965010442e-08
chr5:44812670-52962051	920000	930000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.35	0.06718133747	Macaque_h1	2.64493454606299e-08	3.80816807394449e-08	2.72430442953188e-08
chr5:44812670-52962051	360000	370000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.38	0.0752495425	Macaque_h1	2.96258041338583e-08	4.26551355062549e-08	3.0799421789826e-08
chr5:44812670-52962051	2870000	2880000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1	0.392	0.04030434343	Macaque_h1	1.58678517440945e-08	2.284648083405e-08	2.13492518371795e-08
chr5:44812670-52962051	2420000	2430000	ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1	0.392	0.03268252329	Macaque_h1	1.28671351535433e-08	1.8526058940774e-08	1.51182231899766e-08
chr5:44812670-52962051	7150000	7160000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.35	0.06972711051	Macaque_h1	2.74516183110236e-08	3.95247498981626e-08	2.90901972742008e-08
chr5:44812670-52962051	2900000	2910000	ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.391	0.05664307404	Macaque_h1	2.23004228503937e-08	3.21080755895231e-08	3.03101862790618e-08
chr5:44812670-52962051	350000	360000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.373	0.07555207138	Macaque_h1	2.9744909992126e-08	4.28266237298671e-08	4.41866418012346e-08
chr5:44812670-52962051	4780000	4790000	ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.409	0.0004057547884	Macaque_h1	1.59745979685039e-10	2.30001736974199e-10	1.91168352455878e-10
chr5:44812670-52962051	7490000	7500000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.332	0.06339903897	Macaque_h1	2.49602515629921e-08	3.59376882355356e-08	3.23770696155573e-08
chr5:44812670-52962051	6860000	6870000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.393	0.06611477597	Macaque_h1	2.60294393582677e-08	3.74771013121579e-08	3.79964375468142e-08
chr5:44812670-52962051	1210000	1220000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.342	0.07173618971	Macaque_h1	2.82425943740157e-08	4.06635946362392e-08	3.60382761125368e-08
chr5:44812670-52962051	6590000	6600000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.3715	0.06439674149	Macaque_h1	2.53530478307087e-08	3.65032350119234e-08	2.92343433993815e-08
chr5:44812670-52962051	7390000	7400000	ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1	0.452	0.0502329945	Macaque_h1	1.9776769488189e-08	2.84745277658327e-08	2.67698622573095e-08
chr5:44812670-52962051	850000	860000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.335	0.05622138765	Macaque_h1	2.21344045866142e-08	3.18690430385066e-08	3.08895382375381e-08
chr5:44812670-52962051	460000	470000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.39	0.08566221722	Macaque_h1	3.37252823700787e-08	4.8557550808835e-08	4.33093217467277e-08
chr5:44812670-52962051	690000	700000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.366	0.0767792123	Macaque_h1	3.02280363385827e-08	4.35222274569977e-08	3.95871514608094e-08
chr5:44812670-52962051	6520000	6530000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.369	0.1912163835	Macaque_h1	7.52820407480315e-08	1.08390835056685e-07	1.05740425294948e-07
chr5:44812670-52962051	6810000	6820000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.346	0.06450146443	Macaque_h1	2.53942773346457e-08	3.65625971163018e-08	2.6075760759232e-08
