contig	start	end	comparison	fraction_GC	SubstitutionsPerSite	type	mu1
chr21:8962852-13306301	1050000	1060000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.374	0.09127147578	chm1	2.2817868945e-06
chr21:8962852-13306301	3700000	3710000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.401	0.0001000683311	chm1	2.5017082775e-09
chr21:8962852-13306301	2650000	2660000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.347	0.0007070078275	chm1	1.76751956875e-08
chr21:8962852-13306301	3040000	3050000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.428	0.001944953685	chm1	4.8623842125e-08
chr21:8962852-13306301	2430000	2440000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.389	0.0001000176348	chm1	2.50044087e-09
chr21:8962852-13306301	3910000	3920000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.3443333333	0.002540688924	chm1	6.35172231e-08
chr21:8962852-13306301	50000	60000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.414	0.002624111855	chm1	6.5602796375e-08
chr21:8962852-13306301	880000	890000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.443	0.009677475703	chm1	2.41936892575e-07
chr21:8962852-13306301	690000	700000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.342	0.0001667059149	chm1	4.1676478725e-09
chr21:8962852-13306301	2540000	2550000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.353	0.0001667033232	chm1	4.16758308e-09
chr21:8962852-13306301	1300000	1310000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.466	0.008821050509	chm1	2.20526262725e-07
